epoch,train_loss,test_loss
1,0.452152,0.449060
2,0.378270,0.194334
3,0.212298,0.164071
4,0.189524,0.129984
5,0.136126,0.108214
6,0.125255,0.100282
7,0.122290,0.098394
8,0.120285,0.094281
9,0.118561,0.091880
10,0.117199,0.092438
11,0.116882,0.093262
12,0.116005,0.089832
13,0.115981,0.089121
14,0.114984,0.089332
15,0.114671,0.088276
16,0.114511,0.089092
17,0.114472,0.088170
18,0.113751,0.088167
19,0.112795,0.087388
20,0.112532,0.087924
21,0.112632,0.089532
22,0.111429,0.086368
23,0.111195,0.086632
24,0.111302,0.086821
25,0.110929,0.085682
26,0.109521,0.088023
27,0.108410,0.085375
28,0.107804,0.084419
29,0.107721,0.085828
30,0.107402,0.085457
31,0.106161,0.085173
32,0.106563,0.089603
33,0.106013,0.083494
34,0.105985,0.091814
35,0.104412,0.084901
36,0.103615,0.082759
37,0.103686,0.083997
38,0.103073,0.083014
39,0.102558,0.083995
40,0.102178,0.081107
41,0.103012,0.084538
42,0.102195,0.081997
43,0.100905,0.082895
44,0.100694,0.085719
45,0.100627,0.090369
46,0.100124,0.082407
47,0.099445,0.084935
48,0.099332,0.079981
49,0.099636,0.081229
50,0.099183,0.083629
